Time,wx,wy,wz,qx,qy,qz,q0,x,y,z,vx,vy,vz
0.037,0.000379988,0.000253358,0.00512193,3.51497e-06,2.3434e-06,3.13491e-05,1,6.871e+06,289.377,0,-0.327228,7615.18,0
0.038,0.000389986,0.000260027,0.00539352,3.70497e-06,2.47008e-06,3.391e-05,1,6.871e+06,296.992,0,-0.335839,7615.18,0
0.039,0.000399985,0.000266697,0.00567213,3.89996e-06,2.60009e-06,3.66068e-05,1,6.871e+06,304.607,0,-0.34445,7615.18,0
0.04,0.000409983,0.000273367,0.00595775,4.09996e-06,2.73343e-06,3.94429e-05,1,6.871e+06,312.222,0,-0.353062,7615.18,0
0.041,0.000419982,0.000280037,0.00625038,4.30495e-06,2.87011e-06,4.24217e-05,1,6.871e+06,319.837,0,-0.361673,7615.18,0
0.042,0.00042998,0.000286707,0.00655004,4.51494e-06,3.01012e-06,4.55469e-05,1,6.871e+06,327.453,0,-0.370284,7615.18,0
0.043,0.000439978,0.000293378,0.00685671,4.72994e-06,3.15347e-06,4.88219e-05,1,6.871e+06,335.068,0,-0.378895,7615.18,0
0.044,0.000449976,0.000300049,0.00717039,4.94993e-06,3.30016e-06,5.22503e-05,1,6.871e+06,342.683,0,-0.387507,7615.18,0
0.045,0.000459973,0.00030672,0.00749109,5.17492e-06,3.45017e-06,5.58355e-05,1,6.871e+06,350.298,0,-0.396118,7615.18,0
0.046,0.000469971,0.000313391,0.0078188,5.40491e-06,3.60353e-06,5.9581e-05,1,6.871e+06,357.913,0,-0.404729,7615.18,0
0.047,0.000479969,0.000320063,0.00815354,5.6399e-06,3.76022e-06,6.34904e-05,1,6.871e+06,365.529,0,-0.41334,7615.18,0
0.048,0.000489966,0.000326735,0.00849528,5.87989e-06,3.92024e-06,6.75672e-05,1,6.871e+06,373.144,0,-0.421952,7615.18,0
0.049,0.000499963,0.000333407,0.00884404,6.12488e-06,4.0836e-06,7.18149e-05,1,6.871e+06,380.759,0,-0.430563,7615.18,0
0.05,0.00050996,0.00034008,0.00919982,6.37487e-06,4.25029e-06,7.62369e-05,1,6.871e+06,388.374,0,-0.439174,7615.18,0
0.051,0.000519957,0.000346753,0.00956261,6.62986e-06,4.42032e-06,8.08368e-05,1,6.871e+06,395.989,0,-0.447785,7615.18,0
0.052,0.000529953,0.000353427,0.00993242,6.88984e-06,4.59369e-06,8.56181e-05,1,6.871e+06,403.604,0,-0.456397,7615.18,0
0.053,0.00053995,0.0003601,0.0103092,7.15483e-06,4.77039e-06,9.05843e-05,1,6.871e+06,411.22,0,-0.465008,7615.18,0
0.054,0.000549946,0.000366775,0.0106931,7.42481e-06,4.95043e-06,9.57389e-05,1,6.871e+06,418.835,0,-0.473619,7615.18,0
0.055,0.000559942,0.000373449,0.0110839,7.69979e-06,5.1338e-06,0.000101085,1,6.871e+06,426.45,0,-0.482231,7615.18,0
0.056,0.000569938,0.000380125,0.0114818,7.97977e-06,5.32051e-06,0.000106627,1,6.871e+06,434.065,0,-0.490842,7615.18,0
0.057,0.000579933,0.0003868,0.0118867,8.26475e-06,5.51056e-06,0.000112368,1,6.871e+06,441.68,0,-0.499453,7615.18,0
0.058,0.000589928,0.000393476,0.0122986,8.55473e-06,5.70394e-06,0.000118312,1,6.871e+06,449.295,0,-0.508064,7615.18,0
0.059,0.000599923,0.000400153,0.0127175,8.8497e-06,5.90066e-06,0.000124461,1,6.871e+06,456.911,0,-0.516676,7615.18,0
0.06,0.000609918,0.00040683,0.0131434,9.14968e-06,6.10072e-06,0.00013082,1,6.871e+06,464.526,0,-0.525287,7615.18,0
0.061,0.000619913,0.000413508,0.0135764,9.45465e-06,6.30412e-06,0.000137391,1,6.871e+06,472.141,0,-0.533898,7615.18,0
0.062,0.000629907,0.000420186,0.0140164,9.76462e-06,6.51085e-06,0.00014418,1,6.871e+06,479.756,0,-0.542509,7615.18,0
0.063,0.000639901,0.000426865,0.0144633,1.00796e-05,6.72092e-06,0.000151188,1,6.871e+06,487.371,0,-0.551121,7615.18,0
0.064,0.000649895,0.000433544,0.0149173,1.03996e-05,6.93433e-06,0.00015842,1,6.871e+06,494.987,0,-0.559732,7615.18,0
0.065,0.000659888,0.000440224,0.0153783,1.07245e-05,7.15107e-06,0.000165878,1,6.871e+06,502.602,0,-0.568343,7615.18,0
0.066,0.000669881,0.000446904,0.0158464,1.10545e-05,7.37116e-06,0.000173567,1,6.871e+06,510.217,0,-0.576954,7615.18,0
0.067,0.000679874,0.000453585,0.0163214,1.13894e-05,7.59458e-06,0.000181491,1,6.871e+06,517.832,0,-0.585566,7615.18,0
0.068,0.000689866,0.000460267,0.0168035,1.17294e-05,7.82134e-06,0.000189651,1,6.871e+06,525.447,0,-0.594177,7615.18,0
0.069,0.000699858,0.00046695,0.0172925,1.20744e-05,8.05144e-06,0.000198053,1,6.871e+06,533.062,0,-0.602788,7615.18,0
0.07,0.00070985,0.000473633,0.0177886,1.24243e-05,8.28488e-06,0.000206699,1,6.871e+06,540.678,0,-0.611399,7615.18,0
0.071,0.000719842,0.000480317,0.0182917,1.27793e-05,8.52166e-06,0.000215594,1,6.871e+06,548.293,0,-0.620011,7615.18,0
0.072,0.000729833,0.000487001,0.0188019,1.31392e-05,8.76178e-06,0.000224739,1,6.871e+06,555.908,0,-0.628622,7615.18,0
